,cluster_name,cluster_size,pattern,mean_similarity,std_similarity
48,324,4441,globus_ftp_client: the server responded with an error * * * Error * Major Status: Authentication Failed * * handshake problems * * to verify remote sides credentials * * handshake problems: Couldnt do ssl handshake *,1.0,0.0
49,82,4073,DESTINATION SRM_PUT_TURL error on the turl request : [SE][StatusOfPutRequest][{*}] error accessing */*/{*}/*{*},0.74,0.02
50,23,3710,{*}: the server responded with an error * v=* c={*} * System error in name *{*} * End.,0.84,0.07
51,231,3583,TRANSFER globus_ftp_client: the server responded with an error * Command failed. : IPC failed while attempting to perform request,1.0,0.0
52,33,3453,{*} globus_xio: Unable to connect to * globus_xio: globus_libc_getaddrinfo failed. globus_common: Name or service not known,0.76,0.03
53,152,3226,No such file or directory,1.0,0.0
54,27,3000,{*}: the server responded with an error * Idle Timeout: closing control connection.,0.83,0.02
55,194,2720,TRANSFER globus_ftp_client: the server responded with an error * failed. * : an{*} error{*} * End.,0.82,0.02
56,8,2493,{*} reported from srm_ifce : * [SE][Ls][SRM_INVALID_PATH] No such file or directory,0.81,0.04
57,187,2129,TRANSFER Protocol not supported or path/url invalid: gsiftp:/,1.0,0.0
58,278,2030,TRANSFER globus_ftp_client: the server responded with an error * Transfer was forcefully killed,1.0,0.0
59,46,1823,DESTINATION SRM_PUTDONE Error on the surl srm:/*/dpm/*/home/{*}/{*}/{*}/*/*/*/* while putdone : [SE][PutDone][{*}]{*},0.78,0.1
60,252,1702,TRANSFER globus_ftp_client: the server responded with an error * General problem: Failed to connect *,0.73,0.01
61,183,1622,{*} and destination checksums do not match,0.93,0.05
62,0,1616,Checksum value required if mode is not end to end,1.0,0.0
63,129,1591,Error on XrdCl::CopyProcess::Run(): [FATAL] Redirect limit has been reached,1.0,0.0
64,286,1589,TRANSFER CHECKSUM MISMATCH Source and destination checksums do not match * != *,0.84,0.01
65,198,1454,TRANSFER globus_ftp_client: the server responded with an error * failed. : * error in{*}: Broken pipe * A system call failed: Broken pipe * End.,0.77,0.02
66,29,1327,{*}: the server responded with an error * an unknown error occurred,0.92,0.09
67,78,1311,DESTINATION SRM_PUT_TURL error on the turl request : [SE][StatusOfPutRequest][SRM_FAILURE] No free space on Storage Area,1.0,0.0
68,323,1310,globus_ftp_client: the operation was aborted,1.0,0.0
69,189,1276,TRANSFER globus_ftp_client: the server responded with an error * * Server side credential failure * Error with GSI credential * Error with gss credential handle * Error with credential: The host credential: /etc/grid-security/dpmmgr/dpmcert.pem * with subject: /C=PK/O=NCP/OU=ASC/CN=* * has expired * minutes ago. * * End.,0.99,0.0
70,184,1215,Source and destination file size mismatch,1.0,0.0
71,67,924,DESTINATION SRM_PUTDONE call to srm_ifce error: [SE][PutDone][] httpg://*/srm/* CGSI-gSOAP running on * reports could not open connection to *,0.84,0.06
72,288,829,TRANSFER CHECKSUM MISMATCH USER_DEFINE and SRC checksums are different. * != *,0.86,0.05
73,68,828,DESTINATION SRM_PUT_TURL error on the turl request : [SE][{*}][{*}]{*} /{*}/{*}/data/cms/store/mc/*/*/{*}/*/*/*,0.92,0.11
74,142,805,Error reported from srm_ifce : * [SE][Ls][SRM_INVALID_PATH] No such file or directory /pnfs/*/data/cms/{*}/data/store/{*}/*/*/{*}/*/*/*,0.56,0.07
75,115,800,Error on XrdCl:CopyProcess:Run(): [ERROR] Server responded with an error: [*] [ERROR] Server responded with an error: [*]{*},0.83,0.07
76,24,771,{*}: the server responded with an error *{*} Internal server error,0.86,0.01
77,305,724,[gfalt_copy_file][perform_copy][*][*] Error on XrdCl::CopyProcess::Run(): [ERROR] Server responded with an error: [*] Failed to open file (Unable to reserve space: no linkgroups configured. [*]),1.0,0.0
78,107,712,Error on XrdCl:CopyProcess:Run(): [ERROR] Server responded with an error: [*] Output file /dpm/{*}/home/{*}/{*}/{*}/{*}/*/*/* is already opened by * writer; open denied.,0.8,0.03
79,257,683,TRANSFER globus_ftp_client: the server responded with an error * General problem: Problem while connected to *{*},0.83,0.05
80,182,629,SRM operation canceled,1.0,0.0
81,18,623,{*} error on the turl request : [SE][{*}][{*}] <none>,0.72,0.04
82,274,608,TRANSFER globus_ftp_client: the server responded with an error * Post-processing failed: No such file or directory: *,0.82,0.01
83,314,587,[gfalt_copy_file][perform_copy][gfal_http_copy] DESTINATION OVERWRITE [gfal_http_copy_overwrite] [gfal_http_exists][gfal_http_access][*] Result{*} after * attempts,1.0,0.0
84,228,543,TRANSFER globus_ftp_client: the server responded with an error * Command failed. : Error closing xrootd file handle,1.0,0.0
85,291,537,User and source checksums do not match,1.0,0.0
86,2,525,Connection timed out,1.0,0.0
87,21,523,{*}: the server responded with an error * error in{*}: No such file or directory * system call failed: No such file or directory * End.,0.88,0.04
88,224,494,TRANSFER globus_ftp_client: the server responded with an error * Bug detected (please report): null,1.0,0.0
89,310,476,[gfalt_copy_file][perform_copy][*][*] Error on XrdCl:CopyProcess:Run(): [ERROR] Server responded with an error: [*] sync - TPC open failed for src_url=root:/*/{*}/{*}/{*}/root/{*}/*?fst.readahead=true,0.83,0.08
90,304,474,[gfalt_copy_file][perform_copy][*][*] Error on XrdCl:CopyProcess:Run(): [ERROR] Server responded with an error: [*]{*} to{*} failed;{*}.,0.93,0.08
91,272,371,TRANSFER globus_ftp_client: the server responded with an error * Login incorrect. : Mapped user dynamo@dynamo.mit.edu is invalid.,1.0,0.0
92,279,358,TRANSFER globus_ftp_client: the server responded with an error * Unable to reserve space: no linkgroups configured.,1.0,0.0
93,135,343,Error reported from srm_ifce : * [SE][Ls][SRM_FILE_BUSY] <none>,1.0,0.0
94,41,330,{*} (Neon): SSL handshake failed: Connection timed out during SSL handshake after * attempts,1.0,0.03
95,322,324,an end-of-file was reached globus_xio: An end of file occurred,1.0,0.0
96,237,317,TRANSFER globus_ftp_client: the server responded with an error * Command failed. : open : [ERROR] Server responded with an error: [*] Unable to open{*} /{*}/{*}/{*}/{*}/*/*/*/*{*},0.77,0.08
97,203,315,TRANSFER globus_ftp_client: the server responded with an error * failed. : System error in{*}: Connection timed out * system call failed: Connection timed out * End.,0.87,0.01
98,136,310,Error reported from srm_ifce : * [SE][Ls][SRM_FILE_BUSY] The requested SURL is locked by an upload.,1.0,0.0
99,308,298,[gfalt_copy_file][perform_copy][*][*] Error on XrdCl:CopyProcess:Run(): [ERROR] Server responded with an error: [*] Unable to{*} /{*}/{*}/{*}/{*}/*/*/* permission denied,0.89,0.03
100,13,281,{*} CHECKSUM [*] operation canceled by user,0.85,0.04
101,47,274,DESTINATION SRM_PUTDONE Error on the surl srm:/*/dpm/*/home/{*}/{*}/{*}/*/{*}/{*}/* while putdone : [SE][PutDone][{*}]{*},0.72,0.12
102,209,252,TRANSFER globus_ftp_client: the server responded with an error * failed. :{*} failed. * Unable to connect to * System error in connect:{*} * A system call failed:{*} * End.,0.83,0.05
103,91,236,DESTINATION SRM_PUT_TURL error on the turl request : [SE][StatusOfPutRequest][SRM_INVALID_PATH] Failed to put /storage/data/cms/store/*/*/*/*/*,0.57,0.11
104,247,232,TRANSFER globus_ftp_client: the server responded with an error * Command failed. : transfer has been aborted,1.0,0.0
105,167,231,{*} globus_ftp_client: the server responded with an error * The GSI XIO driver failed to establish a connection via the underlying protocol. * Unable to connect to * System error in connect: Connection refused * A system call failed: Connection refused * End.,0.91,0.05
106,230,231,TRANSFER globus_ftp_client: the server responded with an error * Command failed. : Handle not in the proper state,1.0,0.0
107,156,224,Protocol not supported or path/url invalid: root:/*/dpm/{*}/home/atlas/atlasscratchdisk/rucio/tests/{*}/{*}/*,0.76,0.14
108,150,222,Failed to stat file (Permission denied),1.0,0.0
109,256,217,TRANSFER globus_ftp_client: the server responded with an error * General problem: Failed to connect [*]* Expir el tiempo de conexi n,0.95,0.02
110,218,209,{*}: the server responded with an error * v=* c={*} * System error in{*} *{*} * End.,0.94,0.1
111,303,205,[gfalt_copy_file][perform_copy][*][*] Error on XrdCl::CopyProcess::Run(): [ERROR] Operation not supported: Destination does not support third-party-copy.,1.0,0.0
112,233,200,TRANSFER globus_ftp_client: the server responded with an error * Command failed. : an unknown error occurred,1.0,0.0
113,22,197,{*} CHECKSUM globus_ftp_client: the server responded with an error * server error * End.,0.99,0.03
114,126,189,Error on XrdCl::CopyProcess::Run(): [ERROR] Server responded with an error: [*] write error: No space left on device,1.0,0.0
115,275,181,TRANSFER globus_ftp_client: the server responded with an error * Protocol family not supported,1.0,0.0
116,284,174,TRANSFER globus_xio: Unable to connect to * globus_xio: System error in connect: No route to host globus_xio: A system call failed: No route to host,1.0,0.01
117,263,172,TRANSFER globus_ftp_client: the server responded with an error * General problem: Stream ended before EOD,1.0,0.0
118,285,153,TRANSFER CHECKSUM MISMATCH SRC and DST checksum are different. Source: * Destination: *,0.86,0.03
119,201,153,TRANSFER globus_ftp_client: the server responded with an error * failed. : GlobusError: v=* c={*} * System error in name * End.,0.87,0.02
120,216,145,{*}: the server responded with an error * incorrect. :{*}:{*} invoking callout *{*} callout returned an error * unknown error occurred * End.,0.92,0.1
121,215,136,TRANSFER globus_ftp_client: the server responded with an error * failed. : globus_xio: Unable to connect to * System error in connect: Network is unreachable * A system call failed: Network is unreachable * End.,0.83,0.09
122,229,134,TRANSFER globus_ftp_client: the server responded with an error * Command failed. : Error registering globus write error:{*},0.9,0.01
123,71,132,DESTINATION SRM_PUT_TURL error on the turl request : [SE][PrepareToPut][SRM_FAILURE] Site busy: Too many queued requests.,1.0,0.0
124,296,124,[*][gfal_plugin_statG][gfal_xrootd_statG] Failed to stat file (No such file or directory),1.0,0.0
125,86,123,DESTINATION SRM_PUT_TURL error on the turl request : [SE][StatusOfPutRequest][SRM_FILE_BUSY] The surl srm://*/cms/store/test/rucio/int/cms/store/mc/*/*/NANOAODSIM/*/*/*,0.79,0.14
126,273,122,TRANSFER globus_ftp_client: the server responded with an error * Operation failed: File upload not yet completed,1.0,0.0
127,36,120,DESTINATION{*} Result HTTP * : Unexpected server error: * after * attempts,0.91,0.03
128,116,120,Error on XrdCl::CopyProcess::Run(): [ERROR] Server responded with an error: [*] [ERROR] Server responded with an error: [*] Unable to give access - user access restricted - unauthorized identity used ; Permission denied,1.0,0.0
129,212,120,{*}: the server responded with an error * failed. :{*}: System error in{*}: No route to host *{*} system call failed: No route to host * End.,0.78,0.07
130,277,119,TRANSFER globus_ftp_client: the server responded with an error * SRM upload aborted: File was deleted by request *,0.95,0.02
131,199,114,TRANSFER globus_ftp_client: the server responded with an error * failed. : * error in{*}: Connection reset by peer * A system call failed: Connection reset by peer * End.,0.79,0.02
132,179,114,SOURCE SRM_GET_TURL error on the turl request : [SE][StatusOfGetRequest][SRM_FAILURE] Insufficient user privileges to trigger a tape recall or file replication to the * service class,1.0,0.0
133,35,108,{*} CHECKSUM timeout of *,0.88,0.13
134,181,107,SOURCE SRM_GET_TURL error on the turl request : [SE][StatusOfGetRequest][SRM_INTERNAL_ERROR] Pin operation timed out,1.0,0.0
135,48,107,DESTINATION SRM_PUTDONE Error on the surl srm:/*/dpm/*/home/cms/{*}/store/{*}/*/{*}/{*}/*/*/* while putdone : [SE][PutDone][SRM_FAILURE] Incompatible with current file status,0.63,0.1
136,271,102,TRANSFER globus_ftp_client: the server responded with an error * Login incorrect. : Internal server error,1.0,0.0
